# iteration rmse_test rmse_train
1000 0.16655949 0.16653942
2000 0.15547781 0.15561865
3000 0.14687118 0.14546144
4000 0.14863727 0.14806111
5000 0.14224414 0.14192876
6000 0.14965464 0.14904087
7000 0.15178369 0.15167471
8000 0.14404354 0.1427616
9000 0.14200942 0.14133585
10000 0.14168669 0.14162255
11000 0.14056474 0.14038726
12000 0.13867195 0.13817913
13000 0.13675841 0.13651786
14000 0.13781143 0.13726341
15000 0.1348569 0.13365624
16000 0.13119316 0.13054272
17000 0.14985064 0.1493928
18000 0.14378983 0.14415289
19000 0.14228678 0.14211444
20000 0.13713572 0.1371534
21000 0.13762933 0.13773529
22000 0.13517285 0.13544424
23000 0.13347877 0.13325165
24000 0.13149618 0.13059522
25000 0.1312177 0.13068236
26000 0.13074752 0.13008198
27000 0.12793291 0.12765978
28000 0.1282097 0.12814672
29000 0.12668736 0.12537087
30000 0.12504415 0.12480023
31000 0.12577774 0.12375218
32000 0.12312492 0.12209496
33000 0.12218096 0.12152318
34000 0.11964851 0.1191394
35000 0.11994424 0.11923251
36000 0.11954982 0.1187461
37000 0.11807561 0.117138
38000 0.12171083 0.12053979
39000 0.115658 0.11473433
40000 0.11689894 0.11663803
41000 0.11364227 0.11303867
42000 0.1131941 0.11258922
43000 0.1143595 0.11367136
44000 0.11347511 0.11244682
45000 0.11309744 0.11197937
46000 0.11320779 0.11230241
47000 0.11104512 0.10961429
48000 0.11111924 0.11017047
49000 0.11069817 0.1095255
50000 0.1097098 0.10859646
51000 0.10679309 0.1052839
52000 0.10624703 0.10494456
53000 0.10603957 0.10459186
54000 0.10581952 0.10441103
55000 0.10560331 0.104059
56000 0.10566246 0.10397734
57000 0.10592142 0.1043744
58000 0.10533733 0.1037448
59000 0.10518922 0.10367663
60000 0.1051988 0.10351594
61000 0.10528423 0.10375023
62000 0.10509789 0.10313779
63000 0.10546828 0.10357622
