# iteration rmse_test rmse_train
1000 0.17784776 0.17979642
2000 0.17013672 0.17049633
3000 0.16603571 0.16739577
4000 0.15938321 0.15864515
5000 0.15715848 0.15763672
6000 0.15538317 0.15493621
7000 0.15205845 0.15242436
8000 0.15315266 0.15328151
9000 0.153394 0.15273714
10000 0.14802371 0.14749158
11000 0.14448765 0.14454084
12000 0.14715811 0.14770624
13000 0.14452613 0.14409586
14000 0.1419859 0.14093335
15000 0.15513642 0.15489275
16000 0.14320666 0.14236104
17000 0.14030472 0.13929608
18000 0.13967776 0.1395561
19000 0.14089963 0.14047125
20000 0.14022595 0.13951765
21000 0.13627434 0.13545213
22000 0.13519005 0.13426588
23000 0.13408533 0.1325211
24000 0.13693049 0.13566308
25000 0.13414908 0.13252575
26000 0.13134286 0.12988237
27000 0.13336119 0.13141964
28000 0.13180059 0.12994483
29000 0.12781244 0.1263281
30000 0.12704925 0.12570436
31000 0.12363372 0.12115472
32000 0.1222014 0.12111003
33000 0.12489959 0.12295959
34000 0.12167945 0.11978764
35000 0.11948795 0.11748042
36000 0.11913301 0.11771191
37000 0.11877994 0.11664987
38000 0.11740755 0.11525967
39000 0.11692995 0.11533291
40000 0.11500722 0.11284431
41000 0.11347165 0.11194828
42000 0.11455417 0.11266932
43000 0.1140839 0.11300401
44000 0.11215934 0.11042779
45000 0.11410526 0.11335236
46000 0.11076002 0.11010114
47000 0.11297184 0.11213711
48000 0.11067448 0.10999375
49000 0.1125114 0.11127467
50000 0.11121614 0.11146937
51000 0.10683887 0.10630849
52000 0.1064594 0.10573077
53000 0.10605552 0.10551245
54000 0.10700633 0.10623767
55000 0.10581437 0.10520446
56000 0.10621572 0.10543567
57000 0.10556519 0.10492327
58000 0.10554971 0.10464153
59000 0.10511514 0.10468225
60000 0.10504575 0.10436935
61000 0.10512131 0.10434802
62000 0.104751 0.10385478
63000 0.10510875 0.10418109
64000 0.10515642 0.10403825
65000 0.10437767 0.10368203
66000 0.10449698 0.10336758
67000 0.10418782 0.10366577
68000 0.10481446 0.10381681
69000 0.10421016 0.10332779
70000 0.10386363 0.10319442
71000 0.10504313 0.10429484
72000 0.10439173 0.103565
73000 0.10386605 0.10303132
74000 0.10361715 0.10301383
75000 0.10340069 0.10272394
76000 0.10358405 0.10294925
77000 0.1030897 0.10254631
78000 0.10299123 0.10269366
79000 0.1033071 0.10268957
80000 0.10373825 0.10290355
81000 0.10271045 0.10223418
82000 0.10331003 0.10272911
83000 0.10284157 0.10238178
84000 0.10277482 0.10223879
85000 0.10266915 0.10207211
86000 0.10245931 0.10223699
87000 0.10223624 0.10187782
88000 0.10238901 0.1021107
89000 0.10282331 0.10220322
90000 0.10328515 0.10213595
91000 0.10230051 0.1020469
92000 0.10260384 0.10172212
93000 0.10199767 0.10157489
94000 0.10220349 0.10166118
95000 0.10199815 0.10126813
96000 0.1019355 0.10144294
97000 0.10193854 0.10123554
98000 0.10196377 0.10141857
99000 0.10182507 0.10140788
100000 0.10234874 0.10163755
101000 0.10217526 0.10151753
102000 0.10161982 0.10100102
103000 0.10194712 0.1010865
104000 0.10153139 0.10083936
105000 0.1017901 0.10089051
106000 0.10123246 0.10081448
107000 0.10232397 0.1013561
108000 0.10129004 0.10046784
